account_id,customer_name,date_of_birth,postcode,region,creditor,debt_type,original_balance,current_balance,interest_rate_pct,default_date,account_status,vulnerability_flag,dsar_requested,marketing_consent,assigned_agent
DC101014,Rhys O'Neill,1973-12-24,HD6H 1WQ,Wales,Aurora Credit Ltd,Council Tax,1058.92,1058.92,,2025-02-02,Disputed,None,N,N,Lesley S.
DC100669,Laura Hamilton,1947-11-17,KA7 4HW,Yorkshire,Summit Consumer Credit,Credit Card,1361.29,1361.29,2.86,2025-09-21,Open,Financial Hardship,Y,,Samuel H.
DC100664,Victoria Dickinson,2008-01-06,LS16 2HN,Wales,Hallgate Bank,Rent Arrears,3816.4,3816.4,24.14,2023-03-24,In arrangement,None,N,N,Ann S.
DC100187,Kerry Smith,10/28/1964,N6 9JJ,North East,Kestrel Bank,Personal Loan,3632.4,3632.4,2.24,01/11/2025,Open,None,N,Unknown,Clifford R.
DC101110,Ann Williams,19-08-1998,BN5B 5UZ,Wales,Hallgate Bank,Store Card,11899.57,4870.48,,08/18/2024,OPEN,None,N,Y,Gregory D.
DC100701,ALICE LEWIS,14-08-1985,TW5A 0PT,North West,Northbridge Finance,Overdraft,11901.92,11901.92,8.1,25/09/2022,In Arrangement,None,N,N,Donald J.
DC100625,Bradley Wood,2008-08-22,N54 4JP,Wales,Northbridge Finance,Mobile Phone Contract,1053.85,814.01,2.18,2026-02-28,In Arrangement,None,N,Y,Maurice K.
DC100358,Jane Lowe,,CH8 8YL,London,Hallgate Bank,Mobile Phone Contract,11081.15,11081.15,28.09,2024-09-10,Open,None,N,N,Annette W.
DC100081,Beth Harris,03/23/2007,AL9 9UN,Midlands,Hallgate Bank,Store Card,6638.73,3983.09,23.84,2025-04-19,OPEN,None,N,Y,Bernard J.
DC100962,Jacob Parkinson,01/14/1970,SM93 0DP,London,Meridian Telecom,Credit Card,7542.84,304.66,,10/19/2023,Written Off,None,N,Y,Christine T.
DC100216,Terence Russell,1956-11-01,,London,Meridian Telecom,Mobile Phone Contract,3291.03,2675.92,14.4,2025-11-24,In Arrangement,None,N,Y,Russell B.
DC100246,Susan Frost,1944-01-19,B67 1TE,East Anglia,Summit Consumer Credit,Utility Arrears,8565.52,8565.52,,2023-11-22,Closed,None,N,Y,Bradley O.
DC100939,Leanne Hanson,,M4 1PT,East Anglia,Pinnacle Retail Finance,Store Card,1814.16,1022.22,14.07,2026-01-08,Closed,None,N,Y,Kirsty L.
DC100026,Dean Sharpe,1981-11-07,M87 0DS,Wales,Aurora Credit Ltd,Utility Arrears,3702.8,2074.04,11.45,2025-07-13,Open,None,N,Y,Martyn T.
DC100269,Georgia Roberts,17/10/1986,W2 3HF,North West,Aurora Credit Ltd,Personal Loan,3863.72,1191.12,18.96,2025-02-24,Written Off,None,N,N,Luke D.
DC101174,Jacqueline Martin,1982-08-18,M7 1JS,East Anglia,Northbridge Finance,Store Card,14428.68,14428.68,9.6,2026-06-17,In Arrangement,None,N,N,Ross S.
DC100760,Jamie Mason,1992-08-20,G3 4FZ,South West,Aurora Credit Ltd,Personal Loan,4404.04,4404.04,,31/03/2025,Open,None,N,Y,James J.
DC100004,Gemma Ferguson,1960-08-28,OX3 0JN,Scotland,Summit Consumer Credit,Council Tax,1210.33,441.8,25.2,08-03-2025,Open,None,N,Y,Jason D.
DC100349,Margaret Dodd,1995-06-09,OX1P 4UJ,North West,Summit Consumer Credit,Rent Arrears,12621.19,12621.19,26.45,2026-04-12,In Arrangement,None,N,Y,Jake A.
DC100526,Julian Brookes,1954-12-28,SM11 7SB,South East,Hallgate Bank,Utility Arrears,12810.57,,19.91,2026-07-25,In Arrangement,None,N,Y,Dominic D.
DC100997,Charles Morrison,1951-05-29,SA96 3LU,Scotland,Kestrel Bank,Credit Card,10075.37,1890.5,2.27,2026-06-21,Open,None,N,N,Leon M.
DC100660,Sophie Carter,1987-09-05,B9U 2FP,North East,Pinnacle Retail Finance,Utility Arrears,11384.98,9083.52,9.65,2023-11-23,Disputed,None,N,N,Kirsty Y.
DC100674,Anthony Clements,19/11/1992,EC3 0SA,Wales,Northbridge Finance,Council Tax,4692.58,36.19,9.18,2026-05-12,Written Off,None,N,Unknown,Stephen H.
DC100174,Marilyn Rhodes,16/05/1981,L0 7JX,Yorkshire,Yorkshire Utilities Group,Credit Card,7935.65,7935.65,27.45,2025-06-23,On Hold,None,N,Y,Charlie M.
DC100636,Frank Curtis,22-06-1993,W9 1BB,,Pinnacle Retail Finance,Personal Loan,6549.56,4736.22,17.2,23/02/2025,On Hold,None,N,N,Gemma W.
DC100528,Marc Gallagher,17/08/1964,FY9N 2WZ,,Vantage Home Finance,Store Card,5559.7,5484.3,20.5,2023-01-28,In Arrangement,Financial Hardship,N,Y,Cameron L.
